time_orbits,dist_km,u_p_norm,u_e_norm,P_diff_frobenius
0.290980,6.81102464e+02,6.87575418e-04,3.34857481e-04,1.77349972e+07
0.292074,6.80164018e+02,6.83841960e-04,3.34080553e-04,1.83062372e+07
0.293168,6.79362623e+02,6.85250781e-04,3.32983365e-04,1.99741237e+07
0.294262,6.78692345e+02,6.84643612e-04,3.31502204e-04,1.94807819e+07
0.295356,6.78147781e+02,6.81380345e-04,3.29668944e-04,1.93835348e+07
0.296450,6.77723736e+02,6.75606198e-04,3.27486384e-04,1.78536181e+07
0.297544,6.77415644e+02,6.69628298e-04,3.24999683e-04,1.64762980e+07
0.298638,6.77218669e+02,6.62734013e-04,3.22191551e-04,1.69242974e+07
0.299732,6.77127641e+02,6.54970421e-04,3.19058455e-04,1.58238711e+07
0.300825,6.77137367e+02,6.50189858e-04,3.15620830e-04,1.64428074e+07
0.301919,6.77241601e+02,6.42439286e-04,3.11821467e-04,1.57628504e+07
0.303013,6.77434422e+02,6.35903484e-04,3.07701906e-04,1.41255797e+07
0.304107,6.77710263e+02,6.23208829e-04,3.03270562e-04,1.27379607e+07
0.305201,6.78064162e+02,6.13685380e-04,2.98575197e-04,1.17213552e+07
0.306295,6.78490693e+02,6.03311380e-04,2.93602456e-04,1.10324576e+07
0.307389,6.78984663e+02,5.90800575e-04,2.88372561e-04,1.04078280e+07
0.308483,6.79540509e+02,5.81906538e-04,2.82885289e-04,9.98684157e+06
0.309577,6.80152259e+02,5.69507343e-04,2.77132655e-04,9.68100510e+06
0.310671,6.80814765e+02,5.55510950e-04,2.71164498e-04,9.22931783e+06
0.311765,6.81522440e+02,5.44892008e-04,2.64973984e-04,8.84782020e+06
0.312858,6.82269364e+02,5.32567761e-04,2.58562993e-04,8.50964139e+06
0.313952,6.83050060e+02,5.18645741e-04,2.51961363e-04,8.19769856e+06
0.315046,6.83859375e+02,5.05534171e-04,2.45199010e-04,7.97072553e+06
0.316140,6.84692188e+02,4.89633102e-04,2.38284042e-04,7.64915385e+06
0.317234,6.85543783e+02,4.75731944e-04,2.31256483e-04,7.60037569e+06
0.318328,6.86409141e+02,4.61505019e-04,2.24111857e-04,8.20711350e+06
0.319422,6.87283116e+02,4.47800319e-04,2.16861497e-04,8.29204360e+06
0.320516,6.88160858e+02,4.31232350e-04,2.09530593e-04,7.77510341e+06
0.321610,6.89038168e+02,4.14717849e-04,2.02160948e-04,8.43774102e+06
0.322704,6.89910624e+02,4.00594799e-04,1.94759881e-04,8.54801325e+06
0.323798,6.90773601e+02,3.85982193e-04,1.87335567e-04,8.66925341e+06
0.324891,6.91622761e+02,3.71084115e-04,1.79912415e-04,9.80336618e+06
0.325985,6.92453833e+02,3.55038091e-04,1.72506425e-04,1.06662946e+07
0.327079,6.93262783e+02,3.40092007e-04,1.65147515e-04,1.15602137e+07
0.328173,6.94045569e+02,3.25399643e-04,1.57850253e-04,1.28056935e+07
0.329267,6.94798237e+02,3.10174565e-04,1.50634103e-04,1.36028197e+07
0.330361,6.95516966e+02,2.96587447e-04,1.43525467e-04,1.39906987e+07
0.331455,6.96198013e+02,2.81251876e-04,1.36540456e-04,1.35516966e+07
0.332549,6.96837964e+02,2.67403519e-04,1.29713452e-04,1.46248595e+07
0.333643,6.97433335e+02,2.53245719e-04,1.23058548e-04,1.47177666e+07
0.334737,6.97980860e+02,2.39446136e-04,1.16605146e-04,1.19201900e+07
0.335831,6.98477434e+02,2.26560588e-04,1.10382675e-04,1.45944358e+07
0.336925,6.98919840e+02,2.14310992e-04,1.04406712e-04,1.19557246e+07
