seed,geometry,sigma_theta_deg,T_FP,v_FP,radial_closure_rate_FP,T_soft,v_at_soft,T_sustain,sustained,max_dist_after_FP,min_dist_after_FP,exit_count,time_in_sphere_frac,total_delta_v,peak_accel,control_energy,rmse_pos_x,rmse_pos_y,rmse_pos_z,rmse_dist,final_pos_err,final_vel_err,est_dist_bias,est_radial_vel_bias,nis_mean,nees_mean,are_fallback_count,controller_mean_step_ms
5,alongtrack,0.008,17530.0,7.3129450144796e-05,3.695267089169794e-05,17530.0,7.3129450144796e-05,17530.0,True,0.0996447252627702,2.010775858925831e-06,0,1.0,0.029396384503587655,1.2703671388900921e-05,1.6700482598972158e-07,13.482604107389802,78.29661324798073,5.843841198237044,79.66360988287367,7.316078438101902e-08,1.1840582553685296e-10,0.010314805814997335,8.399053558578452e-06,2.0203919132066304,7.087613713123762,0,3.7775020787787805
4,alongtrack,0.1,17630.0,7.383138332053034e-05,4.359734040416256e-05,17630.0,7.383138332053034e-05,17630.0,True,0.0996596515605255,1.904777670950642e-06,0,1.0,0.029641147598572868,1.2660289181029445e-05,1.692938062517477e-07,37.515311139524606,140.97042065234976,10.759029785313707,146.2730829329752,5.847751119289474e-07,4.453381384700415e-10,0.020370669008230348,2.220316258378168e-06,1.97395527433649,5.3864700905707945,0,3.84050286343993
4,alongtrack,0.008,17570.0,7.35433894479523e-05,3.976555584722473e-05,17570.0,7.35433894479523e-05,17570.0,True,0.09988920469427928,1.9733046835434694e-06,0,1.0,0.02952738686501476,1.2769435589440744e-05,1.6712241081921838e-07,9.846641875886277,112.93559901659522,4.911424787508349,113.47038369069037,4.361842847149898e-08,3.286293237523031e-11,0.012586756679423465,3.6386026962954106e-06,1.9739360398201424,5.502737735441484,1,3.786079011356567
5,alongtrack,0.1,17460.0,7.247533207515428e-05,3.291253203057453e-05,17460.0,7.247533207515428e-05,17460.0,True,0.09991119205022911,1.9899328764979267e-06,0,1.0,0.02894550406976531,1.2666988608637252e-05,1.6678224125564965e-07,49.40445645104868,130.2579967963447,15.627817371343326,140.18621445210712,9.411248099200436e-07,1.5037793203174029e-09,0.023636596076672213,1.718582073881704e-05,2.0204278214007925,7.043347016301961,0,3.7681263127273534
6,alongtrack,0.001,17570.0,7.336716643139257e-05,3.886411635777747e-05,17570.0,7.336716643139257e-05,17570.0,True,0.09979631120177598,1.999145316344177e-06,0,1.0,0.029556371761858297,1.2334018602019784e-05,1.6396224106222018e-07,2.4460792544298884,47.074868054501,1.5372462169039982,47.16343532864222,7.173848159076025e-08,8.008564415781581e-11,-0.004279080972152356,-1.4697906569570154e-06,2.0131882068931586,9.457644982600872,0,3.791718089165372
6,alongtrack,0.008,17570.0,7.32464348383829e-05,3.846717004741475e-05,17570.0,7.32464348383829e-05,17570.0,True,0.09962222546659995,2.004057634845539e-06,0,1.0,0.02954774223687548,1.2187561902161295e-05,1.6218996932720117e-07,11.982017984588012,81.66685122253361,5.419210340902616,82.71886836934712,5.686626951409469e-07,6.337410649286981e-10,-0.01049806505206716,-3.3353855236322376e-06,2.013105604678068,9.450595536097552,1,3.785407440118513
5,alongtrack,0.001,17540.0,7.336380079699265e-05,3.7242385573555655e-05,17540.0,7.336380079699265e-05,17540.0,True,0.09996115079036225,2.011754880108941e-06,0,1.0,0.02948428555480879,1.2485873904170386e-05,1.6459968320895863e-07,2.418570851882989,34.717417962486934,1.4075464026731215,34.83001265895932,9.366035941759086e-09,1.5047519634033495e-11,-0.0005981312112798848,2.6338352116174765e-06,2.020393001835934,7.089463953179969,1,3.830654412583753
6,alongtrack,0.1,17540.0,7.316016903287786e-05,3.616895733538873e-05,17540.0,7.316016903287786e-05,17540.0,True,0.0998664846583564,1.9966127925300168e-06,0,1.0,0.02945958335174417,1.2205061349638156e-05,1.6087907931475645e-07,33.15221060892253,102.58419318670933,11.50763636045233,108.42053059559736,6.927572270204946e-06,7.702568414661074e-09,-0.019664512223749035,-3.027373213143887e-06,2.013053521400832,9.510801485975444,1,4.399995514149273
7,alongtrack,0.008,17590.0,7.355110636511369e-05,4.077882849450106e-05,17590.0,7.355110636511369e-05,17590.0,True,0.09973761304413203,1.967002700931049e-06,0,1.0,0.02960901724647709,1.284986404766033e-05,1.6726001896131756e-07,12.651946512528976,103.19857563556089,5.837314403136281,104.13497012630067,4.714051100732442e-08,6.46439993762285e-11,0.010785846603912713,1.5945938605985547e-06,2.0471077352719274,6.791658300237772,0,4.408325200474301
7,alongtrack,0.1,17580.0,7.315416176311743e-05,3.924286306374101e-05,17580.0,7.315416176311743e-05,17580.0,True,0.0999190680922452,1.957826976508361e-06,0,1.0,0.02954591524201957,1.2477376841737168e-05,1.6603852717686683e-07,35.73137555424637,95.92774328266181,9.897076844378745,102.84364472521577,5.836679971432447e-07,8.397624404124746e-10,0.0069527176558541555,6.763669554662613e-07,2.0470623223373625,6.673762807031395,0,4.415917633029423
