time_orbits,dist,err_x,err_y,err_z,err_vx,err_vy,err_vz,P_trace,u_p_norm
0.234644,7.51580526e+02,-2.93578775e+00,4.39263400e+00,3.71300908e-01,1.81581553e-03,1.82433420e-03,1.75110759e-03,5.49063824e-03,2.67701844e-04
0.236285,7.39658485e+02,-2.94115340e+00,4.40741407e+00,4.35834570e-01,1.52855845e-03,1.45955820e-03,1.84507361e-03,5.36759090e-03,2.74063388e-04
0.237926,7.27767898e+02,-2.91195647e+00,4.45334021e+00,4.33034516e-01,1.49603630e-03,1.36376149e-03,1.48825577e-03,5.24567115e-03,2.79832493e-04
0.239566,7.15922891e+02,-2.87795094e+00,4.46584976e+00,5.10836153e-01,1.58889638e-03,1.23107589e-03,1.82414954e-03,5.12514678e-03,2.85837697e-04
0.241207,7.04137867e+02,-2.86076589e+00,4.46664668e+00,5.31973138e-01,1.46677918e-03,9.15598061e-04,1.62474352e-03,5.00597911e-03,2.91097804e-04
0.242848,6.92427415e+02,-2.84455861e+00,4.52014153e+00,5.31646077e-01,1.35256698e-03,1.08068101e-03,1.37240412e-03,4.88825825e-03,2.96288431e-04
0.244489,6.80806328e+02,-2.84222001e+00,4.53447864e+00,5.68244762e-01,1.18888225e-03,9.55611134e-04,1.42593405e-03,4.77229119e-03,3.01543105e-04
0.246130,6.69289375e+02,-2.84304319e+00,4.53633825e+00,6.22976216e-01,1.02172535e-03,7.05936879e-04,1.56717019e-03,4.65837082e-03,3.06242351e-04
0.247771,6.57891307e+02,-2.84587448e+00,4.55851591e+00,6.29200451e-01,8.94595934e-04,6.86260010e-04,1.33669479e-03,4.54633358e-03,3.11038519e-04
0.249412,6.46627024e+02,-2.81609322e+00,4.57665801e+00,6.63017662e-01,1.01141923e-03,5.22615993e-04,1.30829680e-03,4.43650589e-03,3.15188991e-04
